Name,State,Latitude,Longitude,Status,Commodity Group
Nammuldi,WA,-22.406866,117.395299,Operating mine,Iron ore
Narrabri,NSW,-30.52,149.85,Operating mine,Coal
Nelson Bay River,TAS,-41.17,144.74,Care and maintenance,Iron ore
Nevoria,WA,-31.5067,119.5835,Operating mine,"Precious metals - Au, Ag, PGE"
New Acland,QLD,-27.269628,151.707831,Care and Maintenance,Coal
New Cobar,NSW,-31.5161,145.8551,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Newlands,QLD,-21.2544,147.901,Operating mine,Coal
Newstan,NSW,-32.975814,151.57689,Care and maintenance,Coal
Nicholas Downs,WA,-22.773894,120.894281,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Nicolson's Find,WA,-18.4096,127.3567,Operating mine,"Precious metals - Au, Ag, PGE"
